OM412704	SAMN25269265
OM680213	SAMN25951401
ON251501	SAMN27599448
ON251586	SAMN27600108
ON293013	SAMN27632466
OM901206	SAMN26377133
ON187052	SAMN27390672
ON187054	SAMN27390674
ON187062	SAMN27390682
ON187088	SAMN27390708
ON187091	SAMN27390711
ON187098	SAMN27390719
ON292693	SAMN27632394
OM692776	SAMN25959621
ON187254	SAMN27390879
ON187260	SAMN27390886
ON187266	SAMN27390892
ON187298	SAMN27390925
ON187309	SAMN27390936
ON187360	SAMN27390989
ON187409	SAMN27391040
ON187424	SAMN27391057
ON187430	SAMN27391063
ON187459	SAMN27391093
ON187465	SAMN27391099
ON187475	SAMN27391109
ON187482	SAMN27391117
ON187488	SAMN27391124
ON187494	SAMN27391130
ON187501	SAMN27391138
ON187515	SAMN27391152
ON187539	SAMN27391178
ON187619	SAMN27391262
ON187623	SAMN27391266
ON187633	SAMN27391276
ON187640	SAMN27391283
OW140501	SAMEA13371011
ON173298	SAMN27389414
ON171074	SAMN27394600
ON174101	SAMN27393068
ON174102	SAMN27393069
ON172615	SAMN27386515
ON172616	SAMN27386516
ON172617	SAMN27386517
ON171075	SAMN27394602
ON173126	SAMN27389145
ON173887	SAMN27392712
OM941840	SAMN26519582
ON235597	SAMN27575950
ON251119	SAMN27598702
OW705501	SAMEA14303777
OW704081	SAMEA14302379
OW706408	SAMEA14303230
OM915131	SAMN26443983
OM942607	SAMN26518185
OW707448	SAMEA14301490
OW693982	SAMEA14299469
ON047965	SAMN26880723
OW719426	SAMEA14308617
OW724318	SAMEA14308953
OW725017	SAMEA14310839
OV391584	SAMEA12122193
OV391589	SAMEA12122225
OV454282	SAMEA11245357
OV527920	SAMEA11755226
OV611401	SAMEA11748364
OM266664	SAMN24925748
OV644629	SAMEA11767815
OV645285	SAMEA11767956
OV651628	SAMEA11770575
OV653569	SAMEA11771432
OV655503	SAMEA11770904
OV660608	SAMEA11768526
OV660706	SAMEA11774110
OV671649	SAMEA11767114
OV675675	SAMEA11287176
OV702572	SAMEA12363715
OV702719	SAMEA12363699
OV703210	SAMEA12363720
OV724163	SAMEA12546665
OV724184	SAMEA12546668
OV805477	SAMEA12751250
OV805536	SAMEA11852027
OV843139	SAMEA12857093
OV843154	SAMEA12857062
OV843158	SAMEA12857167
OV843163	SAMEA12857107
OV843172	SAMEA12857183
OV843174	SAMEA12857078
OV843197	SAMEA12857168
OV843198	SAMEA12857129
OV843201	SAMEA12857144
OV843203	SAMEA12857142
OV843225	SAMEA12857135
OV843227	SAMEA12857192
OV843228	SAMEA12857075
OV843234	SAMEA12857159
OV843244	SAMEA12857054
OV843247	SAMEA12857148
OV843270	SAMEA12857191
OV843272	SAMEA12857127
OV843287	SAMEA12857147
OV843295	SAMEA12857140
OV843306	SAMEA12857158
OV843311	SAMEA12857165
OV884079	SAMEA12946561
OV884184	SAMEA12946586
OV884188	SAMEA12946599
OV923483	SAMEA13060693
OV924185	SAMEA13060747
OW027303	SAMEA13183594
OW127124	SAMEA13370791
OW210298	SAMEA13603063
OV734353	SAMEA12549608
OV881130	SAMEA12937401
ON312725	SAMN27679162
OV736151	SAMEA12550220
OV735317	SAMEA12549961
OV350138	SAMEA12110029
OV993426	SAMEA13152037
OV735012	SAMEA12549737
OV737051	SAMEA12561285
OM228927	SAMN24697933
OW196527	SAMEA13469231
OV737295	SAMEA12561749
OM229010	SAMN24698304
OM229043	SAMN24698098
OM099225	SAMN24581008
OV639211	SAMEA12338161
OV737223	SAMEA12561837
OV665135	SAMEA11772207
OM518374	SAMN25648318
OM889334	SAMN26353962
OM518802	SAMN25648237
OM229653	SAMN24698022
OM229783	SAMN24698371
OM229902	SAMN24698012
OM229888	SAMN24698029
OM890139	SAMN26353911
OM977244	SAMN26589386
OM889103	SAMN26353887
OM561380	SAMN25701356
OM803435	SAMN26206332
OM176192	SAMN24702025
OM854109	SAMN26270304
OM889241	SAMN26353631
ON250826	SAMN27602408
OM888830	SAMN26353541
OM977270	SAMN26589345
OM901189	SAMN26376980
ON309566	SAMN27676286
OM842571	SAMN26280581
OM456461	SAMN25513839
ON309962	SAMN27675609
OM958849	SAMN26553220
OM503522	SAMN25557137
OM503593	SAMN25557213
OM503609	SAMN25557230
OM503691	SAMN25557318
OM503775	SAMN25557412
OM503792	SAMN25557430
OM503723	SAMN25557356
ON310345	SAMN27676249
OM636073	SAMN25813827
OM636082	SAMN25813836
OV591999	SAMEA12075472
OM563503	SAMN25703173
OM622536	SAMN25738331
OM645210	SAMN25851511
OM466881	SAMN25528499
OM645725	SAMN25851347
OM702793	SAMN25984385
OM653081	SAMN25763318
OM491773	SAMN25603146
OM718055	SAMN25821486
OM768285	SAMN26100475
OM723342	SAMN25855916
OM761216	SAMN26140699
OM723401	SAMN25855867
OM723371	SAMN25855855
OM842073	SAMN26281275
OM680533	SAMN25951673
OM680624	SAMN25951643
OM882819	SAMN26349511
OM923052	SAMN26493926
OM865043	SAMN26315367
OM931796	SAMN26502997
OM931830	SAMN26502992
ON032191	SAMN26805511
OM365187	SAMN25223434
OV391545	SAMEA12122241
OV474746	SAMEA11286977
OV475764	SAMEA11287036
OM261786	SAMN24915354
OV526144	SAMEA11217785
OM191518	SAMN24757050
OV631333	SAMEA11762472
OV631358	SAMEA11762518
OV641287	SAMEA11766905
OV643566	SAMEA11766914
OV644555	SAMEA11767621
OV651213	SAMEA11770322
OV651233	SAMEA11770427
OV651235	SAMEA11770428
OV652202	SAMEA11770672
OM293236	SAMN25048460
OV666761	SAMEA11772674
OV685651	SAMEA11291062
OV703580	SAMEA12363692
OV724167	SAMEA12546716
OV843168	SAMEA12857208
OV843237	SAMEA12857106
OV884140	SAMEA12946673
OV923911	SAMEA13060709
OV924009	SAMEA13060662
OM367482	SAMN25140384
OM999987	SAMN26687878
OM860600	SAMN26306605
OV882971	SAMEA12939310
OM695801	SAMN25960309
OV671465	SAMEA11767087
OV734525	SAMEA12549806
OV734075	SAMEA12550070
OM412357	SAMN25269679
OV736833	SAMEA12561711
OV734677	SAMEA12549913
OM299193	SAMN25012936
OM889061	SAMN26352283
OM290818	SAMN25063485
OM364337	SAMN25223217
OM517239	SAMN25647852
OM517350	SAMN25647784
ON079389	SAMN27012356
ON047486	SAMN26882162
OM901294	SAMN26376930
OM901285	SAMN26376921
OM977172	SAMN26589307
ON251707	SAMN27602484
OM294969	SAMN25044873
OM202363	SAMN24793119
OM890669	SAMN26353049
ON127648	SAMN27162869
OM074447	SAMN24530481
OM074787	SAMN24530425
OM349931	SAMN25210229
OM349945	SAMN25210221
OV843151	SAMEA12857100
OM882969	SAMN26349211
OM518524	SAMN25647427
OM176219	SAMN24702865
OM503602	SAMN25557222
OM503656	SAMN25557279
OM503787	SAMN25557425
OM819117	SAMN26227630
OM977238	SAMN26589276
OM430642	SAMN25349044
OM636058	SAMN25813810
OM785378	SAMN26147098
OM636068	SAMN25813822
ON187201	SAMN27390822
ON187221	SAMN27390842
ON187457	SAMN27391091
ON187544	SAMN27391184
ON187624	SAMN27391267
OM410648	SAMN25266036
OW029128	SAMEA13247820
OM767066	SAMN26089258
